Title;Year;Rank;IMDb Rating
"Malignant";2021;1;6.3
"Dune";2021;2;8.5
"Shang-Chi and the Legend of the Ten Rings";2021;3;7.9
"Kate";2021;4;6.3
"The Matrix Resurrections";2021;5;null
"Cinderella";2021;6;4.2
"The Voyeurs";2021;7;5.9
"Cry Macho";2021;8;5.9
"Candyman";2021;9;6.1
"Nightmare Alley";2021;10;null
"Free Guy";2021;11;7.5
"The Many Saints of Newark";2021;12;7.6
"Cruella";2021;13;7.4
"Prisoners of the Ghostland";2021;14;4.4
"The Suicide Squad";2021;15;7.3
"Venom: Let There Be Carnage";2021;16;8.3
"Dont Look Up";2021;17;null
"The Guilty";2021;18;6.2
"Nightbooks";2021;19;5.8
"No Time to Die";2021;20;null
"The Matrix";1999;21;8.7
"Prey";2021;22;4.2
"The Last Duel";2021;23;7.7
"The Card Counter";2021;24;6.5
"Last Night in Soho";2021;25;7.4
"Old";2021;26;5.8
"The Power of the Dog";2021;27;6.6
"Dune";1984;28;6.4
"My Son";2021;29;6
"Spider-Man: No Way Home";2021;30;null
"Black Widow";2021;31;6.8
"Dont Breathe 2";2021;32;6.1
"The Eyes of Tammy Faye";2021;33;7.1
"Dear Evan Hansen";2021;34;5.7
"Escape Room: Tournament of Champions";2021;35;5.8
"Reminiscence";2021;36;5.9
"West Side Story";2021;37;null
"Worth";2020;38;6.8
"Dont Worry Darling";2022;39;null
"Hes All That";2021;40;4.3
"The Green Knight";2021;41;6.6
"Copshop";2021;42;6.7
"United 93";2006;43;7.6
"The Matrix Reloaded";2003;44;7.2
"Shershaah";2021;45;8.8
"F9: The Fast Saga";2021;46;5.2
"Eternals";2021;47;null
"Bhoot Police";2021;48;6.9
"After We Fell";2021;49;4.9
"Fauci";2021;50;2.2
"Halloween Kills";2021;51;7.8
"Gunpowder Milkshake";2021;52;6
"Jungle Cruise";2021;53;6.6
"Avengers: Endgame";2019;54;8.4
"Everybodys Talking About Jamie";2021;55;6.3
"365 Days";2020;56;3.3
"The Shawshank Redemption";1994;57;9.3
"Schumacher";2021;58;7.6
"World Trade Center";2006;59;5.9
"The Batman";2022;60;null
"Once Upon a Time... In Hollywood";2019;61;7.6
"Knives Out";2019;62;7.9
"Once Upon a Time in America";1984;63;8.4
"Midsommar";2019;64;7.1
"Best Sellers";2021;65;6.1
"Vacation Friends";2021;66;6.3
"Wind River";2017;67;7.7
"Stillwater";2021;68;6.6
"Mortal Kombat";2021;69;6.1
"CODA";2021;70;8.1
"The Matrix Revolutions";2003;71;6.8
"Sweet Girl";2021;72;5.5
"Dirty Work";1998;73;6.4
"Candyman";1992;74;6.7
"The Tomorrow War";2021;75;6.6
"The Courier";2020;76;7.1
"School of Rock";2003;77;7.1
"The Protege";2021;78;6.1
"Harry Potter and the Sorcerers Stone";2001;79;7.6
"Resident Evil: Welcome to Raccoon City";2021;80;null
"Wrath of Man";2021;81;7.2
"A Quiet Place Part II";2020;82;7.3
"Snake Eyes";2021;83;5.4
"Tenet";2020;84;7.4
"Dont Breathe";2016;85;7.1
"The Wolf of Wall Street";2013;86;8.2
"Venom";2018;87;6.7
"SAS: Red Notice";2021;88;5.1
"Nobody";2021;89;7.4
"Zack Snyders Justice League";2021;90;8.1
"Pig";2021;91;7
"News of the World";2020;93;6.8
"Bellbottom";2021;94;6.3
"Mars Attacks!";1996;95;6.3
"The Father";2020;96;8.3
"The Night House";2020;97;6.9
"Spencer";2021;98;6.5
"Interstellar";2014;99;8.6
"Luca";2021;100;7.5
